Date,Predicted
2017-04-13,36847.94140625
2017-04-14,36880.25
2017-04-17,36908.50390625
2017-04-18,36933.00390625
2017-04-19,36957.5
2017-04-20,36986.13671875
2017-04-21,37024.5234375
2017-04-24,37076.9765625
2017-04-25,37140.75
2017-04-26,37214.625
2017-04-27,37296.1328125
2017-04-28,37382.91015625
2017-05-02,37471.73828125
2017-05-04,37562.84375
2017-05-08,37655.4453125
2017-05-10,37751.29296875
2017-05-11,37850.27734375
2017-05-12,37954.46875
2017-05-15,38065.05078125
2017-05-16,38179.80078125
2017-05-17,38298.14453125
2017-05-18,38423.3671875
2017-05-19,38553.6953125
2017-05-22,38685.83984375
2017-05-23,38818.3515625
2017-05-24,38948.109375
2017-05-25,39066.16796875
2017-05-26,39171.7109375
2017-05-29,39263.78125
2017-05-30,39345.390625
2017-05-31,39421.25390625
2017-06-01,39499.875
2017-06-02,39581.36328125
2017-06-05,39663.54296875
2017-06-07,39744.1484375
2017-06-08,39819.328125
2017-06-09,39887.03515625
2017-06-12,39949.52734375
2017-06-13,40008.20703125
2017-06-14,40065.94921875
2017-06-15,40119.62890625
2017-06-16,40165.7265625
2017-06-19,40200.15625
2017-06-20,40222.6796875
2017-06-21,40231.00390625
2017-06-22,40228.0234375
2017-06-23,40215.2890625
2017-06-26,40192.5
2017-06-27,40156.67578125
2017-06-28,40102.703125
2017-06-29,40033.79296875
2017-06-30,39956.3125
2017-07-03,39875.76171875
2017-07-04,39795.26171875
2017-07-05,39716.74609375
2017-07-06,39641.390625
2017-07-07,39569.19140625
2017-07-10,39499.578125
2017-07-11,39437.10546875
2017-07-12,39384.4453125
2017-07-13,39344.80078125
2017-07-14,39319.3984375
2017-07-17,39308.82421875
2017-07-18,39311.3359375
2017-07-19,39325.1328125
2017-07-20,39353.9921875
2017-07-21,39398.71484375
2017-07-24,39456.09375
2017-07-25,39523.09375
2017-07-26,39596.3984375
2017-07-27,39673.1484375
2017-07-28,39752.81640625
2017-07-31,39833.6640625
2017-08-01,39915.40625
2017-08-02,39998.2890625
2017-08-03,40077.4375
2017-08-04,40148.03515625
2017-08-07,40208.66796875
2017-08-08,40257.3359375
2017-08-09,40297.32421875
2017-08-10,40329.88671875
2017-08-11,40351.9765625
2017-08-14,40359.140625
2017-08-16,40353.5078125
2017-08-17,40335.3359375
2017-08-18,40305.80078125
2017-08-21,40266.4453125
2017-08-22,40223.57421875
2017-08-23,40182.484375
2017-08-24,40145.75390625
2017-08-25,40115.46484375
2017-08-28,40094.25
2017-08-29,40081.22265625
2017-08-30,40076.8671875
2017-08-31,40080.1875
2017-09-01,40088.37890625
2017-09-04,40099.41015625
2017-09-05,40113.42578125
2017-09-06,40130.88671875
2017-09-07,40150.88671875
2017-09-08,40174.73046875
2017-09-11,40200.01171875
2017-09-12,40226.0
2017-09-13,40252.4921875
2017-09-14,40278.04296875
2017-09-15,40298.06640625
2017-09-18,40309.69921875
2017-09-19,40314.94140625
2017-09-20,40312.984375
2017-09-21,40304.5390625
2017-09-22,40291.3984375
2017-09-25,40274.125
2017-09-26,40253.0234375
2017-09-27,40232.98046875
2017-09-28,40217.32421875
2017-09-29,40208.4921875
2017-10-10,40205.04296875
2017-10-11,40203.65625
2017-10-12,40201.87109375
2017-10-13,40201.2265625
2017-10-16,40198.00390625
2017-10-17,40190.83984375
2017-10-18,40181.7265625
2017-10-19,40171.796875
2017-10-20,40162.765625
2017-10-23,40154.33203125
2017-10-24,40145.8984375
2017-10-25,40139.046875
2017-10-26,40131.69140625
2017-10-27,40123.21484375
2017-10-30,40113.64453125
2017-10-31,40102.57421875
2017-11-01,40093.07421875
2017-11-02,40090.0390625
2017-11-03,40094.88671875
2017-11-06,40107.2578125
2017-11-07,40127.15625
2017-11-08,40151.6796875
2017-11-09,40168.59765625
2017-11-10,40172.0234375
2017-11-13,40155.48046875
2017-11-14,40116.8125
2017-11-15,40053.671875
2017-11-16,39968.578125
2017-11-17,39864.70703125
2017-11-20,39748.36328125
2017-11-21,39622.6328125
2017-11-22,39486.52734375
2017-11-23,39340.8984375
2017-11-24,39186.38671875
2017-11-27,39023.16796875
2017-11-28,38848.98828125
2017-11-29,38673.37109375
2017-11-30,38502.5234375
2017-12-01,38338.984375
2017-12-04,38185.7421875
2017-12-05,38040.61328125
2017-12-06,37904.57421875
2017-12-07,37772.328125
2017-12-08,37636.96875
2017-12-11,37496.8671875
2017-12-12,37353.26953125
2017-12-13,37215.21484375
2017-12-14,37087.8671875
2017-12-15,36974.3671875
2017-12-18,36874.3984375
2017-12-19,36789.8828125
2017-12-20,36717.7890625
2017-12-21,36653.8203125
2017-12-22,36595.25
2017-12-26,36544.26171875
2017-12-27,36502.4921875
2017-12-28,36470.40234375
2018-01-02,36446.34765625
2018-01-03,36426.6484375
2018-01-04,36409.84375
2018-01-05,36393.6953125
2018-01-08,36377.01171875
2018-01-09,36359.90625
2018-01-10,36341.15625
2018-01-11,36318.05859375
2018-01-12,36285.9296875
2018-01-15,36242.5
2018-01-16,36189.046875
2018-01-17,36127.49609375
2018-01-18,36066.6875
2018-01-19,36012.828125
2018-01-22,35968.80078125
2018-01-23,35934.76171875
2018-01-24,35908.30859375
2018-01-25,35886.14453125
2018-01-26,35866.0625
2018-01-29,35851.33984375
2018-01-30,35843.84375
2018-01-31,35844.66015625
2018-02-01,35854.34765625
2018-02-02,35876.50390625
